Data Index	Xground	Yground	Zground	Xoff	Yoff	Zoff	Xon	Yon	Zon
8.935689846	2.39E-12	2.95E-13	4.29E-14	4.16E-13	8.95E-13	3.06E-12	7.09E-15	2.92E-15	1.36E-15
9.008933205	1.91E-12	2.28E-13	8.38E-14	2.37E-13	7.41E-13	3.48E-12	7.94E-15	3.80E-15	2.26E-15
9.082176565	1.10E-12	7.31E-13	1.11E-13	1.72E-13	8.06E-13	3.31E-12	6.03E-15	2.98E-15	2.74E-15
9.155419924	8.02E-13	8.04E-13	8.09E-14	2.02E-13	6.33E-13	2.99E-12	5.02E-15	2.17E-15	2.50E-15
9.228663284	7.28E-13	4.31E-13	5.36E-14	1.76E-13	3.85E-13	1.07E-12	5.66E-15	2.21E-15	2.13E-15
9.301906643	1.40E-12	5.83E-13	7.82E-14	2.12E-13	2.32E-13	8.92E-13	4.44E-15	2.01E-15	1.91E-15
9.375150002	1.14E-12	4.83E-13	6.82E-14	1.54E-13	2.66E-13	1.17E-12	3.96E-15	2.44E-15	1.73E-15
9.448393362	1.79E-12	9.20E-13	6.12E-14	1.01E-13	1.83E-13	5.29E-13	3.43E-15	1.42E-15	1.54E-15
9.521636721	2.02E-12	1.18E-12	1.31E-13	1.21E-13	1.38E-13	1.28E-12	5.90E-15	1.37E-15	2.08E-15
9.594880081	9.51E-13	8.91E-13	1.42E-13	1.62E-13	1.47E-13	9.65E-13	7.95E-15	1.47E-15	2.05E-15
9.66812344	1.17E-12	7.84E-13	6.63E-14	1.67E-13	1.08E-13	3.73E-13	9.48E-15	1.72E-15	2.38E-15
9.741366799	1.28E-12	7.92E-13	1.26E-13	2.08E-13	2.10E-13	8.71E-13	6.24E-15	2.78E-15	4.20E-15
9.814610159	1.46E-12	5.82E-13	1.24E-13	2.01E-13	4.02E-13	1.27E-12	4.72E-15	1.96E-15	4.10E-15
9.887853518	1.79E-12	1.77E-12	1.25E-13	1.30E-13	1.53E-13	6.04E-13	1.27E-14	2.58E-15	4.22E-15
9.961096878	2.26E-12	3.13E-12	1.06E-13	2.21E-13	2.00E-13	3.29E-13	1.36E-14	2.99E-15	3.45E-15
10.03434024	2.53E-12	3.29E-12	1.41E-13	3.04E-13	2.53E-13	2.84E-13	7.44E-15	1.81E-15	3.32E-15
